Paper	Outlet	Year	PaperID	Empirical Exp./Analysis	human?	"Averaged or single task? (s: single tasks; a: averaged; na = not applicable)"	Explanation	Task (to evaluate whether aggregation makes sense or not)
Examination of the software architecture change characterization scheme using three empirical studies	EMSE	2014	EMSE14_30	yes	yes	a	2 change tasks were compared against each other to evaluate a new tool	implement changes over course of semester
From offshore outsourcing to insourcing and partnerships: four failed outsourcing attempts	EMSE	2014	EMSE14_31	yes	yes	na	multi case study	
High-MCC Functions in the Linux Kernel	EMSE	2014	EMSE14_32	yes	yes	a	correlation of perceived complexity with regularity of source code	estimation of complexity
How changes affect software entropy: an empirical study	EMSE	2014	EMSE14_33	yes	no			
Investigating the effects of personality traits on pair programming in a higher education setting through a family of experiments	EMSE	2014	EMSE14_34	yes	yes	a	grade in exams	tasks throughout the semester
Investigation of individual factors impacting the effectiveness of requirements inspections: a replicated experiment	EMSE	2014	EMSE14_35	yes	yes	a	number of faults is analyzed	estimation of faults
Labeling source code with information retrieval methods: an empirical study	EMSE	2014	EMSE14_36	yes	yes	a	average time/sum of labels	tasks to label source code (to give additional information)
Measuring and modeling programming experience	EMSE	2014	EMSE14_37	yes	yes	a	number of correctly solved tasks	10 program comprehension tasks
MND-SCEMP: an empirical study of a software cost estimation modeling process in the defense domain	EMSE	2014	EMSE14_38	yes	yes	na	experts were recruited to complement cost estimation of software project	
On the role of tests in test-driven development: a differentiated and partial replication	EMSE	2014	EMSE14_39	yes	yes	a	number of test cases, external quality over implementations is analyzed	test-first implementation of source code
A replicated quasi-experimental study on the influence of personality and team climate in software development	EMSE	2014	EMSE14_4	yes	yes	na: unclear	"no clear definition of tasks; only practical assignment to show the effect of learning"	
On the variation and specialisation of workload—A case study of the Gnome ecosystem community	EMSE	2014	EMSE14_40	yes	no			
On using machine learning to automatically classify software applications into domain categories	EMSE	2014	EMSE14_41	yes	no			
Predicting object-oriented class reuse-proneness using internal quality attributes	EMSE	2014	EMSE14_42	yes	no			
Recovering from a decade: a systematic mapping of information retrieval approaches to software traceability	EMSE	2014	EMSE14_43	yes	no			
Replication of empirical studies in software engineering research: a systematic mapping study	EMSE	2014	EMSE14_44	yes	no			
Reporting experiments to satisfy professionals’ information needs	EMSE	2014	EMSE14_45	yes	yes	na	purely qualitative (card sorting)	
Software defect prediction using Bayesian networks	EMSE	2014	EMSE14_46	yes	no			
Software process evaluation: a machine learning framework with application to defect management process	EMSE	2014	EMSE14_47	yes	yes	a	time, effort, and quality are each discussed based on all projects	software inspection tasks to set the baseline for a machine-learning approach
Static test case prioritization using topic models	EMSE	2014	EMSE14_48	yes	no			
SWordNet: Inferring semantically related words from software context	EMSE	2014	EMSE14_49	yes	no			
Agile vs. structured distributed software development: A case study	EMSE	2014	EMSE14_5	yes	yes	na	interviews on software development process	
The impact of UML modeling on defect density and defect resolution time in a proprietary system	EMSE	2014	EMSE14_50	yes	no			
Validating differential relationships between risk categories and project performance as perceived by managers	EMSE	2014	EMSE14_51	yes	no			
Variation factors in the design and analysis of replicated controlled experiments	EMSE	2014	EMSE14_52	yes	yes	both		
What are developers talking about? An analysis of topics and trends in Stack Overflow	EMSE	2014	EMSE14_53	yes	no			
An empirical study of control logic specifications for programmable logic controllers	EMSE	2014	EMSE14_6	yes	no			
An empirical study of identifier splitting techniques	EMSE	2014	EMSE14_7	yes	yes	na	participants are used to create a ground truth	
An empirical study on the impact of static typing on software maintainability	EMSE	2014	EMSE14_8	yes	yes	s	effects discussed task-wise	10 programming tasks
An empirically based terminology and taxonomy for global software engineering	EMSE	2014	EMSE14_9	yes	yes	na	10 experts recruited to develop glossary for terms in global software engineering, where terms are used ambiguously	
1600 faults in 100 projects: automatically finding faults while achieving high coverage with EvoSuite	EMSE	2015	EMSE15_1	yes	no			
An experimental investigation comparing individual and collaborative work productivity when using desktop and cloud modeling tools	EMSE	2015	EMSE15_10	yes	yes	both	time and number of corrections per task, then tasks are summarized in a model	creating, adapting, and sharing models
Are test smells really harmful? An empirical study	EMSE	2015	EMSE15_11	yes	yes	s	analysis and significance test for each task	"finding test smells; one factor, presence/absence of test smells"
Automated prediction of bug report priority using multi-factor analysis	EMSE	2015	EMSE15_12	yes	no			
Case studies synthesis: a thematic, cross-case, and narrative synthesis worked example	EMSE	2015	EMSE15_13	yes	no			
Charting the API minefield using software telemetry data	EMSE	2015	EMSE15_14	yes	no			
Classification model for code clones based on machine learning	EMSE	2015	EMSE15_15	yes	yes	a	clone categorization separated by different projects	categorization of whether code pieces are clones or not
Confounding parameters on program comprehension: a literature survey	EMSE	2015	EMSE15_16	yes	no			
Detecting and refactoring code smells in spreadsheet formulas	EMSE	2015	EMSE15_17	yes	yes	na	developers evaluated whether smells in their own spreadsheets are really smells	
Developer initiation and social interactions in OSS: A case study of the Apache Software Foundation	EMSE	2015	EMSE15_18	yes	no			
Do developers benefit from requirements traceability when evolving and maintaining a software system?	EMSE	2015	EMSE15_19	yes	yes	task as independent variable	average time and correctness of all tasks	maintenance
A large study on the effect of code obfuscation on the quality of java code	EMSE	2015	EMSE15_2	yes	no			
Do topics make sense to managers and developers?	EMSE	2015	EMSE15_20	yes	yes	a	sum of agreement/disagreement	rating of automatically generated topics
Empirical evidence on the link between object-oriented measures and external quality attributes: a systematic literature review	EMSE	2015	EMSE15_21	yes	no			
Fault density, fault types, and spectra-based fault localization	EMSE	2015	EMSE15_22	yes	no			
Fostering effective inter-team knowledge sharing in agile software development	EMSE	2015	EMSE15_23	yes	yes	na	grounded theory	
Green mining: a methodology of relating software change and configuration to power consumption	EMSE	2015	EMSE15_24	yes	no			
HAZOP-based identification of events in use cases	EMSE	2015	EMSE15_25	yes	yes	a	defined metrics based on the number of identified events and number of steps	identification of events in use cases of a requirements specification document
How product owner teams scale agile methods to large distributed enterprises	EMSE	2015	EMSE15_26	yes	yes	na	grounded theory	
How the Apache community upgrades dependencies: an evolutionary study	EMSE	2015	EMSE15_27	yes	no			
Link analysis algorithms for static concept location: an empirical assessment	EMSE	2015	EMSE15_28	yes	yes	both	tasks summarized, but different systems not	concept location
Management of community contributions	EMSE	2015	EMSE15_29	yes	no			
A Large-Scale Empirical Study of the Relationship between Build Technology and Build Maintenance	EMSE	2015	EMSE15_3	yes	no			
Mining software repair models for reasoning on the search space of automated program fixing	EMSE	2015	EMSE15_30	yes	no			
Modelling the ‘hurried’ bug report reading process to summarize bug reports	EMSE	2015	EMSE15_31	yes	yes	a	average quality of rating	rating of generated bug report summaries
Multi-objective ant colony optimization for requirements selection	EMSE	2015	EMSE15_32	yes	no			
Object-oriented software extensions in practice	EMSE	2015	EMSE15_33	yes	no			
On rapid releases and software testing: a case study and a semi-systematic literature review	EMSE	2015	EMSE15_34	yes	yes	na	interview with one employee to triangulate automated findings	
Optimising agile development practices for the maintenance operation: nine heuristics	EMSE	2015	EMSE15_35	yes	yes	na	data collection of every-day work over a year	
Recommending reference API documentation	EMSE	2015	EMSE15_36	yes	yes	a	sum of estimation of usefulness	estimation of usefulness of KI
Semi-automatic selection of primary studies in systematic literature reviews: is it reasonable?	EMSE	2015	EMSE15_37	yes	no			
Should I follow this fault localization tool’s output?	EMSE	2015	EMSE15_38	yes	no			
Software requirements prioritization and selection using linguistic tools and constraint solvers—a controlled experiment	EMSE	2015	EMSE15_39	yes	yes	a	"average time; % of correct answers"	requirement prioritization and selection
A practical guide to controlled experiments of software engineering tools with human participants	EMSE	2015	EMSE15_4	yes	no			
Studying the relationship between logging characteristics and the code quality of platform software	EMSE	2015	EMSE15_40	yes	no			
Supporting and accelerating reproducible empirical research in software evolution and maintenance using TraceLab Component Library	EMSE	2015	EMSE15_41	yes	no			
The impact of imperfect change rules on framework API evolution identification: an empirical study	EMSE	2015	EMSE15_42	yes	yes	a	precision of finding replaced methods (number found divided by total number of methods to replace)	finding corresponding methods after software update
The kanban approach, between agility and leanness: a systematic review	EMSE	2015	EMSE15_43	yes	no			
Towards a decision-making structure for selecting a research design in empirical software engineering	EMSE	2015	EMSE15_44	no	no			
Towards improving statistical modeling of software engineering data: think locally, act globally!	EMSE	2015	EMSE15_45	yes	no			
Transfer learning in effort estimation	EMSE	2015	EMSE15_46	yes	no			
UML model refactoring: a systematic literature review	EMSE	2015	EMSE15_47	yes	no			
Understanding the impact of rapid releases on software quality	EMSE	2015	EMSE15_48	yes	no			
Understanding the Influence of User Participation and Involvement on System Success – a Systematic Mapping Study	EMSE	2015	EMSE15_49	yes	no			
Achieving scalable mutation-based generation of whole test suites	EMSE	2015	EMSE15_5	yes	no			
Visual GUI testing in practice: challenges, problemsand limitations	EMSE	2015	EMSE15_50	yes	yes	na	observed effect of new with automatically collected data	
An elicitation instrument for operationalising GQM+Strategies (GQM+S-EI)	EMSE	2015	EMSE15_6	yes	no			
An empirical comparison of model-based and capture and replay approaches for performance testing	EMSE	2015	EMSE15_7	yes	yes	both	3 different kinds of tasks, too different for aggregation?	
An empirical study on the importance of source code entities for requirements traceability	EMSE	2015	EMSE15_8	yes	yes	a	average fixation times per source code entity	verification tasks
An experiment on the effectiveness and efficiency of exploratory testing	EMSE	2015	EMSE15_9	yes	yes	a	sum of defects in fixed length session	testing session to find defects
An empirical study of software release notes	EMSE	2016	EMSE2016_1	yes	no			
Breathing ontological knowledge into feature model synthesis: an empirical study	EMSE	2016	EMSE2016_10	yes	no			
Assessing the impact of real-time machine translation on multilingual meetings in global software projects	EMSE	2016	EMSE2016_11	yes	yes	s, but tasks are too different to be combined	Controlled study with real-time ML translations, two types of tasks	Requirements, release planning discussions
Code clones and developer behavior: results of two surveys of the clone research community	EMSE	2016	EMSE2016_12	yes	yes	na	Surveys	
A survey on the use of topic models when mining software repositories	EMSE	2016	EMSE2016_13	yes	no			
On the detection of custom memory allocators in C binaries	EMSE	2016	EMSE2016_14	yes	no			
Perspectives on refactoring planning and practice: an empirical study	EMSE	2016	EMSE2016_15	yes	yes	na	survey	
Development nature matters: An empirical study of code clones in JavaScript applications	EMSE	2016	EMSE2016_16	yes	no			
Weighing lexical information for software clustering in the context of architecture recovery	EMSE	2016	EMSE2016_17	yes	no			
A field study of how developers locate features in source code	EMSE	2016	EMSE2016_18	yes	no?		Indirect human study: analyzed logs of IDE and search behavior	
What Java developers know about compatibility, and why this matters	EMSE	2016	EMSE2016_19	yes	yes	na	survey	
An empirical study of integration activities in distributions of open source software	EMSE	2016	EMSE2016_2	yes	yes	na	Feedback from three maintainers, only a tiny part	
Does the level of detail of UML diagrams affect the maintainability of source code?: a family of experiments	EMSE	2016	EMSE2016_20	yes	yes	av	Family of experiments: how UML aids comprehensibility/modifiabilty, two systems with multiple tasks	
Experimentation with dynamic simulation models in software engineering: planning and reporting guidelines	EMSE	2016	EMSE2016_21	yes	no			
Continuously mining distributed version control systems: an empirical study of how Linux uses Git	EMSE	2016	EMSE2016_22	yes	no			
Assessing refactorings for usability in e-commerce applications	EMSE	2016	EMSE2016_23	yes	yes	s	Analysis and dicsussion on the effect of individual refactoring tasks (in this case probably necessary)	Various refactoring task for higher usability
Exploring the costs of technical debt management – a case study	EMSE	2016	EMSE2016_24	yes	no			
Game of detections: how are security vulnerabilities discovered in the wild?	EMSE	2016	EMSE2016_25	yes	yes	na	survey	
Scalable data structure detection and classification for C/C++ binaries	EMSE	2016	EMSE2016_26	yes	no			
The impact of tangled code changes on defect prediction models	EMSE	2016	EMSE2016_27	yes	no			
A contextual approach towards more accurate duplicate bug report detection and ranking	EMSE	2016	EMSE2016_28	yes	no			
Preprocessor-based variability in open-source and industrial software systems: An empirical study	EMSE	2016	EMSE2016_29	yes	no			
Improving the performance of OCL constraint solving with novel heuristics for logical operations: a search-based approach	EMSE	2016	EMSE2016_3	yes	no			
Evaluating the impact of design pattern and anti-pattern dependencies on changes and faults	EMSE	2016	EMSE2016_30	yes	no			
Automated bug assignment: Ensemble-based machine learning in large scale industrial contexts	EMSE	2016	EMSE2016_31	yes	no			
An in-depth study of the promises and perils of mining GitHub	EMSE	2016	EMSE2016_32	yes	no			
Studying just-in-time defect prediction using cross-project models	EMSE	2016	EMSE2016_33	yes	no			
Automatic identifier inconsistency detection using code dictionary	EMSE	2016	EMSE2016_34	yes	yes	na	interview, only part of the study	
Archetypal personalities of software engineers and their work preferences: a new perspective for empirical studies	EMSE	2016	EMSE2016_35	yes	no			
An automated software reliability prediction system for safety critical software	EMSE	2016	EMSE2016_36	yes	yes	both	"Tool evaluation, multiple ""tests"" with subtasks, discussion based on tests; 2 different tasks (small and large) per condition, but each task consisted of different number of test units)"	reading software requirements specification, mapping defect to original, assessing software reliability (Sec. 10.3.3)
Mining architectural violations from version history	EMSE	2016	EMSE2016_37	yes	no			
An empirical study of the textual similarity between source code and source code summaries	EMSE	2016	EMSE2016_38	yes	yes	na	questionnaire	
Analyzing and automatically labelling the types of user issues that are raised in mobile app reviews	EMSE	2016	EMSE2016_39	yes	no			
Empirical assessment of machine learning-based malware detectors for Android	EMSE	2016	EMSE2016_4	yes	no			
Fresh apps: an empirical study of frequently-updated mobile apps in the Google play store	EMSE	2016	EMSE2016_40	yes	no			
An empirical study of the impact of modern code review practices on software quality	EMSE	2016	EMSE2016_41	yes	no			
Studying high impact fix-inducing changes	EMSE	2016	EMSE2016_42	yes	no			
On the use of many quality attributes for software refactoring: a many-objective search-based software engineering approach	EMSE	2016	EMSE2016_43	yes	no			
Open innovation in software engineering: a systematic mapping study	EMSE	2016	EMSE2016_44	yes	no			
Performance variability in software product lines: proposing theories from a case study	EMSE	2016	EMSE2016_45	yes	no			
An automatic method for assessing the versions affected by a vulnerability	EMSE	2016	EMSE2016_46	yes	no			
Coevolution of variability models and related software artifacts	EMSE	2016	EMSE2016_47	yes	no			
Prompter: Turning the IDE into a self-confident programming assistant	EMSE	2016	EMSE2016_48	yes	yes	both	Results and discussion on a single task basis (but not subtask)	1 Maintanence + 1 implementation with multiple subtasks
Studying the needed effort for identifying duplicate issues	EMSE	2016	EMSE2016_49	yes	no			
An empirical examination of the prevalence of inhibitors to the parallelizability of open source software systems	EMSE	2016	EMSE2016_5	yes	no			
A comparative study of many-objective evolutionary algorithms for the discovery of software architectures	EMSE	2016	EMSE2016_50	yes	no			
What are mobile developers asking about? A large scale study using stack overflow	EMSE	2016	EMSE2016_51	yes	no			
Value-cognitive boosting with a support vector machine for cross-project defect prediction	EMSE	2016	EMSE2016_52	yes	no			
From Aristotle to Ringelmann: a large-scale analysis of team productivity and coordination in Open Source Software projects	EMSE	2016	EMSE2016_53	yes	no			
Quantifying structural attributes of system decompositions in 28 feature-oriented software product lines	EMSE	2016	EMSE2016_54	yes	no			
Change-based test selection: an empirical evaluation	EMSE	2016	EMSE2016_55	yes	no			
On the unreliability of bug severity data	EMSE	2016	EMSE2016_56	yes	no			
An experiment on the impact of transparency on the effectiveness of requirements documents	EMSE	2016	EMSE2016_57	yes	yes	na	questionnaire	Read requirements, answer questionnaire
Large-scale information retrieval in software engineering - an experience report from industrial application	EMSE	2016	EMSE2016_58	yes	no			
Understanding and addressing exhibitionism in Java empirical research about method accessibility	EMSE	2016	EMSE2016_59	yes	no			
Comparing and experimenting machine learning techniques for code smell detection	EMSE	2016	EMSE2016_6	yes	no			
Inferring extended finite state machine models from software executions	EMSE	2016	EMSE2016_60	yes	no			
Cheap talk, cooperation, and trust in global software engineering	EMSE	2016	EMSE2016_61	yes	no			
Improving bug management using correlations in crash reports	EMSE	2016	EMSE2016_62	yes	no			
An exploratory study of api changes and usages based on apache and eclipse ecosystems	EMSE	2016	EMSE2016_63	yes	no			
Towards building a universal defect prediction model with rank transformed predictors	EMSE	2016	EMSE2016_64	yes	no			
Linguistic antipatterns: what they are and how developers perceive them	EMSE	2016	EMSE2016_7	yes	yes	both	Online test with two groups, results and discussion are largely on individual results, some aggregation	Check for linguistic anti-patterns in code
The effects of visualization and interaction techniques on feature model configuration	EMSE	2016	EMSE2016_8	yes	yes	s	Tool evaluation, simple and complex task for each option (with/without tool). Results and discussion on these individual tasks	Comprehension and change tasks
Using text clustering to predict defect resolution time: a conceptual replication and an evaluation of prediction accuracy	EMSE	2016	EMSE2016_9	yes	no			
An empirical study of unspecified dependencies in make-based build systems	EMSE	2017	EMSE2017_10	yes	no			
The Debsources Dataset: two decades of free and open source software	EMSE	2017	EMSE2017_11	yes	no			
Productivity paradoxes revisited	EMSE	2017	EMSE2017_12	yes	no			
Raters’ reliability in clone benchmarks construction	EMSE	2017	EMSE2017_13	yes	yes	av	Empirical study to investigate accuracy of user judgments about clones, 500+ code snippets, discussions only on group averages (e.g., expert vs. non-expert)	Code clone: yes or no?
Characterizing logging practices in Java-based open source software projects – a replication study in Apache Software Foundation	EMSE	2017	EMSE2017_14	yes	no			
Predicting the delay of issues with due dates in software projects	EMSE	2017	EMSE2017_15	yes	no			
Exception handling bug hazards in Android	EMSE	2017	EMSE2017_16	yes	yes	na	Survey of developers, only part of the paper	
Empirical evaluation of the effects of experience on code quality and programmer productivity: an exploratory study	EMSE	2017	EMSE2017_17	yes	yes	s	10 quasi-experiments in industry in practice	 2 hours for two test-last development tasks
Estimating the number of remaining links in traceability recovery	EMSE	2017	EMSE2017_18	yes	no			
Naming the pain in requirements engineering	EMSE	2017	EMSE2017_19	yes	no			
On the long-term use of visual gui testing in industrial practice: a case study	EMSE	2017	EMSE2017_2	yes	yes	na	semi-structured interviews, grounded theory	
Tracing distributed collaborative development in apache software foundation projects	EMSE	2017	EMSE2017_20	yes	yes	na	Survey of developers, only part of the paper	
On the correlation between size and metric validity	EMSE	2017	EMSE2017_21	yes	no			
Tackling the term-mismatch problem in automated trace retrieval	EMSE	2017	EMSE2017_22	yes	no			
An empirical study of emergency updates for top android mobile apps	EMSE	2017	EMSE2017_23	yes	no			
Global vs. local models for cross-project defect prediction	EMSE	2017	EMSE2017_24	yes	no			
How programmers read regular code: a controlled experiment using eye tracking	EMSE	2017	EMSE2017_25	yes	yes	s	Eye-tracking experiment of program comprehension, 	
Do Programmers do Change Impact Analysis in Debugging?	EMSE	2017	EMSE2017_26	yes	yes	na	Exploratory study, survey	
Why and how developers fork what from whom in GitHub	EMSE	2017	EMSE2017_27	yes	yes	na	surveys	
Evolutionary trends of developer coordination: a network approach	EMSE	2017	EMSE2017_28	yes	no			
Effectiveness and efficiency of a domain-specific language for high-performance marine ecosystem simulation: a controlled experiment	EMSE	2017	EMSE2017_29	yes	yes	both	A bit unclear. Seems only a single task for each condition.	Multiple tasks: comprehension, feedback, maintainence
Evaluating code complexity triggers, use of complexity measures and the influence of code complexity on maintenance time	EMSE	2017	EMSE2017_3	yes	yes	na	online survey	
On negative results when using sentiment analysis tools for software engineering research	EMSE	2017	EMSE2017_30	yes	no		Used human evaluation as ground truth	
Stochastic actor-oriented modeling for studying homophily and social influence in OSS projects	EMSE	2017	EMSE2017_31	yes	no			
Search-based detection of model level changes	EMSE	2017	EMSE2017_32	yes	no			
Generating valid grammar-based test inputs by means of genetic programming and annotated grammars	EMSE	2017	EMSE2017_33	yes	no			
To log, or not to log: using heuristics to identify mandatory log events – a controlled experiment	EMSE	2017	EMSE2017_34	yes	yes	Both	Some results and discussions on group basis, some individual task artifacts	Identify MLE (mandatory log events)
Robust Statistical Methods for Empirical Software Engineering	EMSE	2017	EMSE2017_35	yes	no			
On the pragmatic design of literature studies in software engineering: an experience-based guideline	EMSE	2017	EMSE2017_36	yes	no			
Model comprehension for security risk assessment: an empirical comparison of tabular vs. graphical representations	EMSE	2017	EMSE2017_37	yes	yes	av	Group/experiment averages	Model comprehension for secruity risk assessment
Will this localization tool be effective for this bug? Mitigating the impact of unreliability of information retrieval based bug localization tools	EMSE	2017	EMSE2017_38	yes	no			
Recurring opinions or productive improvements—what agile teams actually discuss in retrospectives	EMSE	2017	EMSE2017_39	yes	yes	na	longitudenal case study of retrospectives	
Multi-objective reverse engineering of variability-safe feature models based on code dependencies of system variants	EMSE	2017	EMSE2017_4	yes	no			
An initial analysis of software engineers’ attitudes towards organizational change	EMSE	2017	EMSE2017_40	yes	yes	na	questionnaire	
Towards just-in-time suggestions for log changes	EMSE	2017	EMSE2017_41	yes	no			
Which log level should developers choose for a new logging statement?	EMSE	2017	EMSE2017_42	yes	no			
Zen-ReqOptimizer: a search-based approach for requirements assignment optimization	EMSE	2017	EMSE2017_43	yes	no			
Studying the urgent updates of popular games on the Steam platform	EMSE	2017	EMSE2017_44	yes	no			
Investigating the use of moving windows to improve software effort prediction: a replicated study	EMSE	2017	EMSE2017_45	yes	no			
FOREPOST: finding performance problems automatically with feedback-directed learning software testing	EMSE	2017	EMSE2017_46	yes	no			
Documenting and sharing software knowledge using screencasts	EMSE	2017	EMSE2017_47	yes	yes	na	Interviews	
Semantic topic models for source code analysis	EMSE	2017	EMSE2017_48	yes	no		Used human evaluation	
An empirical study for software change prediction using imbalanced data	EMSE	2017	EMSE2017_49	yes	no			
Reengineering legacy applications into software product lines: a systematic mapping	EMSE	2017	EMSE2017_5	yes	no			
Automatic repair of real bugs in java: a large-scale experiment on the defects4j dataset	EMSE	2017	EMSE2017_50	yes	no			
Are delayed issues harder to resolve? Revisiting cost-to-fix of defects throughout the lifecycle	EMSE	2017	EMSE2017_51	yes	no			
Negative results for software effort estimation	EMSE	2017	EMSE2017_52	yes	no			
A robust multi-objective approach to balance severity and importance of refactoring opportunities	EMSE	2017	EMSE2017_53	yes	no			
Curating GitHub for engineered software projects	EMSE	2017	EMSE2017_54	yes	no			
Do bugs foreshadow vulnerabilities? An in-depth study of the chromium project	EMSE	2017	EMSE2017_55	yes	no			
Learning to rank code examples for code search engines	EMSE	2017	EMSE2017_56	yes	no			
A study of the relation of mobile device attributes with the user-perceived quality of Android apps	EMSE	2017	EMSE2017_57	yes	no			
Requirements reuse and requirement patterns: a state of the practice survey	EMSE	2017	EMSE2017_59	yes	yes	na	exploratory survey study	
“Failures” to be celebrated: an analysis of major pivots of software startups	EMSE	2017	EMSE2017_6	yes	no			
An empirical study of supplementary patches in open source projects	EMSE	2017	EMSE2017_60	yes	no			
A stability assessment of solution adaptation techniques for analogy-based software effort estimation	EMSE	2017	EMSE2017_61	yes	no			
Identifying the implied: Findings from three differentiated replications on the use of security requirements templates	EMSE	2017	EMSE2017_62	yes	yes	Both	Multiple studies, With/without suggested template, some data on individual use cases (tasks), some experiment averages	Identify security requirements
A detailed investigation of the effectiveness of whole test suite generation	EMSE	2017	EMSE2017_64	yes	no			
Fragile base-class problem, problem?	EMSE	2017	EMSE2017_65	yes	yes	na	Survey, only part	
Group versus individual use of power-only EPMcreate as a creativity enhancement technique for requirements elicitation	EMSE	2017	EMSE2017_66	yes	yes	na	Different group sizes to evaluate its effect on idea generation, also a survey	Generate ideas for requirements
fine-GRAPE: fine-grained APi usage extractor – an approach and dataset to investigate API usage	EMSE	2017	EMSE2017_67	yes	no			
Eye movements in software traceability link recovery	EMSE	2017	EMSE2017_68	yes	yes	both	Analysis on individual bugs and the overall average	8 bug localizations
A repository of Unix history and evolution	EMSE	2017	EMSE2017_69	yes?	no			
Extracting and analyzing time-series HCI data from screen-captured task videos	EMSE	2017	EMSE2017_7	yes	no			
Case study on which relations to use for clustering-based software architecture recovery	EMSE	2017	EMSE2017_70	yes	no			
Achieving traceability in large scale continuous integration and delivery deployment, usage and validation of the eiffel framework	EMSE	2017	EMSE2017_71	yes	yes	na	Different interviews	
Review participation in modern code review	EMSE	2017	EMSE2017_72	yes	no			
An industry experiment on the effects of test-driven development on external quality and productivity	EMSE	2017	EMSE2017_73	yes	yes	both	Discussion on averages over entire task, minor discussions of subtasks	Three tasks with multiple implementation subtasks: 2 TDD vs. 1 ITLD
License usage and changes: a large-scale study on gitHub	EMSE	2017	EMSE2017_74	yes	no			
Defect propagation at the project-level: results and a post-hoc analysis on inspection efficiency	EMSE	2017	EMSE2017_75	yes	no			
Analysis of license inconsistency in large collections of open source projects	EMSE	2017	EMSE2017_76	yes	no			
What do developers search for on the web?	EMSE	2017	EMSE2017_77	yes	yes	na	Part: survey	
The structure and dynamics of knowledge network in domain-specific Q&A sites: a case study of stack overflow	EMSE	2017	EMSE2017_78	yes	no			
Data Transformation in Cross-project Defect Prediction	EMSE	2017	EMSE2017_79	yes	no			
A large-scale study of architectural evolution in open-source software systems	EMSE	2017	EMSE2017_8	yes	no			
Automated training-set creation for software architecture traceability problem	EMSE	2017	EMSE2017_80	yes	no			
An experimental search-based approach to cohesion metric evaluation	EMSE	2017	EMSE2017_81	yes	no			
The last line effect explained	EMSE	2017	EMSE2017_9	yes	yes	na	interviews	
Supporting the analyzability of architectural component models - empirical findings and tool support	EMSE	2018	EMSE2018_77	yes	yes	s, but not relevant	"Data based on individual components; they build a regression model to predict the performance of participants in each of 7 components/tasks"	"Comprehending/modeling components; ggregation would make sense, but is not really possible, because they excluded data when correctness was not 100%; it is difficult to conduct an aggregated analysis; reanalysis would be too far away to sensibly compare the analyses"
