Paper;PaperID;Empirical Exp./Analysis;human?;"Averaged or single task? (s: single tasks; a: averaged; na = not applicable)";Explanation;Task (to evaluate whether aggregation makes sense or not)
Performance variability in software product lines: proposing theories from a case study;EMSE2016_45;yes;no;;;
An automatic method for assessing the versions affected by a vulnerability;EMSE2016_46;yes;no;;;
Coevolution of variability models and related software artifacts;EMSE2016_47;yes;no;;;
Prompter: Turning the IDE into a self-confident programming assistant;EMSE2016_48;yes;yes;both;Results and discussion on a single task basis (but not subtask);1 Maintanence + 1 implementation with multiple subtasks
Studying the needed effort for identifying duplicate issues;EMSE2016_49;yes;no;;;
An empirical examination of the prevalence of inhibitors to the parallelizability of open source software systems;EMSE2016_5;yes;no;;;
A comparative study of many-objective evolutionary algorithms for the discovery of software architectures;EMSE2016_50;yes;no;;;
What are mobile developers asking about? A large scale study using stack overflow;EMSE2016_51;yes;no;;;
Value-cognitive boosting with a support vector machine for cross-project defect prediction;EMSE2016_52;yes;no;;;
From Aristotle to Ringelmann: a large-scale analysis of team productivity and coordination in Open Source Software projects;EMSE2016_53;yes;no;;;
Quantifying structural attributes of system decompositions in 28 feature-oriented software product lines;EMSE2016_54;yes;no;;;
Change-based test selection: an empirical evaluation;EMSE2016_55;yes;no;;;
On the unreliability of bug severity data;EMSE2016_56;yes;no;;;
An experiment on the impact of transparency on the effectiveness of requirements documents;EMSE2016_57;yes;yes;na;questionnaire;Read requirements, answer questionnaire
Large-scale information retrieval in software engineering - an experience report from industrial application;EMSE2016_58;yes;no;;;
Understanding and addressing exhibitionism in Java empirical research about method accessibility;EMSE2016_59;yes;no;;;
Comparing and experimenting machine learning techniques for code smell detection;EMSE2016_6;yes;no;;;
Inferring extended finite state machine models from software executions;EMSE2016_60;yes;no;;;
Cheap talk, cooperation, and trust in global software engineering;EMSE2016_61;yes;no;;;
Improving bug management using correlations in crash reports;EMSE2016_62;yes;no;;;
An exploratory study of api changes and usages based on apache and eclipse ecosystems;EMSE2016_63;yes;no;;;
Towards building a universal defect prediction model with rank transformed predictors;EMSE2016_64;yes;no;;;
Linguistic antipatterns: what they are and how developers perceive them;EMSE2016_7;yes;yes;both;Online test with two groups, results and discussion are largely on individual results, some aggregation;Check for linguistic anti-patterns in code
The effects of visualization and interaction techniques on feature model configuration;EMSE2016_8;yes;yes;s;Tool evaluation, simple and complex task for each option (with/without tool). Results and discussion on these individual tasks;Comprehension and change tasks
Using text clustering to predict defect resolution time: a conceptual replication and an evaluation of prediction accuracy;EMSE2016_9;yes;no;;;
An empirical study of unspecified dependencies in make-based build systems;EMSE2017_10;yes;no;;;
The Debsources Dataset: two decades of free and open source software;EMSE2017_11;yes;no;;;
Productivity paradoxes revisited;EMSE2017_12;yes;no;;;
Raters’ reliability in clone benchmarks construction;EMSE2017_13;yes;yes;av;Empirical study to investigate accuracy of user judgments about clones, 500+ code snippets, discussions only on group averages (e.g., expert vs. non-expert);Code clone: yes or no?
Characterizing logging practices in Java-based open source software projects – a replication study in Apache Software Foundation;EMSE2017_14;yes;no;;;
Predicting the delay of issues with due dates in software projects;EMSE2017_15;yes;no;;;
Exception handling bug hazards in Android;EMSE2017_16;yes;yes;na;Survey of developers, only part of the paper;
Empirical evaluation of the effects of experience on code quality and programmer productivity: an exploratory study;EMSE2017_17;yes;yes;s;10 quasi-experiments in industry in practice; 2 hours for two test-last development tasks
Estimating the number of remaining links in traceability recovery;EMSE2017_18;yes;no;;;
Naming the pain in requirements engineering;EMSE2017_19;yes;no;;;
On the long-term use of visual gui testing in industrial practice: a case study;EMSE2017_2;yes;yes;na;semi-structured interviews, grounded theory;
Tracing distributed collaborative development in apache software foundation projects;EMSE2017_20;yes;yes;na;Survey of developers, only part of the paper;
On the correlation between size and metric validity;EMSE2017_21;yes;no;;;
Tackling the term-mismatch problem in automated trace retrieval;EMSE2017_22;yes;no;;;
An empirical study of emergency updates for top android mobile apps;EMSE2017_23;yes;no;;;
Global vs. local models for cross-project defect prediction;EMSE2017_24;yes;no;;;
How programmers read regular code: a controlled experiment using eye tracking;EMSE2017_25;yes;yes;s;Eye-tracking experiment of program comprehension, ;
Do Programmers do Change Impact Analysis in Debugging?;EMSE2017_26;yes;yes;na;Exploratory study, survey;
Why and how developers fork what from whom in GitHub;EMSE2017_27;yes;yes;na;surveys;
Evolutionary trends of developer coordination: a network approach;EMSE2017_28;yes;no;;;
Effectiveness and efficiency of a domain-specific language for high-performance marine ecosystem simulation: a controlled experiment;EMSE2017_29;yes;yes;both;A bit unclear. Seems only a single task for each condition.;Multiple tasks: comprehension, feedback, maintainence
Evaluating code complexity triggers, use of complexity measures and the influence of code complexity on maintenance time;EMSE2017_3;yes;yes;na;online survey;
On negative results when using sentiment analysis tools for software engineering research;EMSE2017_30;yes;no;;Used human evaluation as ground truth;
Stochastic actor-oriented modeling for studying homophily and social influence in OSS projects;EMSE2017_31;yes;no;;;
Search-based detection of model level changes;EMSE2017_32;yes;no;;;
Generating valid grammar-based test inputs by means of genetic programming and annotated grammars;EMSE2017_33;yes;no;;;
To log, or not to log: using heuristics to identify mandatory log events – a controlled experiment;EMSE2017_34;yes;yes;Both;Some results and discussions on group basis, some individual task artifacts;Identify MLE (mandatory log events)
Robust Statistical Methods for Empirical Software Engineering;EMSE2017_35;yes;no;;;
On the pragmatic design of literature studies in software engineering: an experience-based guideline;EMSE2017_36;yes;no;;;
Model comprehension for security risk assessment: an empirical comparison of tabular vs. graphical representations;EMSE2017_37;yes;yes;av;Group/experiment averages;Model comprehension for secruity risk assessment
Will this localization tool be effective for this bug? Mitigating the impact of unreliability of information retrieval based bug localization tools;EMSE2017_38;yes;no;;;
Recurring opinions or productive improvements—what agile teams actually discuss in retrospectives;EMSE2017_39;yes;yes;na;longitudenal case study of retrospectives;
Multi-objective reverse engineering of variability-safe feature models based on code dependencies of system variants;EMSE2017_4;yes;no;;;
An initial analysis of software engineers’ attitudes towards organizational change;EMSE2017_40;yes;yes;na;questionnaire;
Towards just-in-time suggestions for log changes;EMSE2017_41;yes;no;;;
Which log level should developers choose for a new logging statement?;EMSE2017_42;yes;no;;;
Zen-ReqOptimizer: a search-based approach for requirements assignment optimization;EMSE2017_43;yes;no;;;
Studying the urgent updates of popular games on the Steam platform;EMSE2017_44;yes;no;;;
Investigating the use of moving windows to improve software effort prediction: a replicated study;EMSE2017_45;yes;no;;;
FOREPOST: finding performance problems automatically with feedback-directed learning software testing;EMSE2017_46;yes;no;;;
Documenting and sharing software knowledge using screencasts;EMSE2017_47;yes;yes;na;Interviews;
Semantic topic models for source code analysis;EMSE2017_48;yes;no;;Used human evaluation;
An empirical study for software change prediction using imbalanced data;EMSE2017_49;yes;no;;;
Reengineering legacy applications into software product lines: a systematic mapping;EMSE2017_5;yes;no;;;
Automatic repair of real bugs in java: a large-scale experiment on the defects4j dataset;EMSE2017_50;yes;no;;;
Are delayed issues harder to resolve? Revisiting cost-to-fix of defects throughout the lifecycle;EMSE2017_51;yes;no;;;
Negative results for software effort estimation;EMSE2017_52;yes;no;;;
A robust multi-objective approach to balance severity and importance of refactoring opportunities;EMSE2017_53;yes;no;;;
Curating GitHub for engineered software projects;EMSE2017_54;yes;no;;;
Do bugs foreshadow vulnerabilities? An in-depth study of the chromium project;EMSE2017_55;yes;no;;;
Learning to rank code examples for code search engines;EMSE2017_56;yes;no;;;
A study of the relation of mobile device attributes with the user-perceived quality of Android apps;EMSE2017_57;yes;no;;;
Requirements reuse and requirement patterns: a state of the practice survey;EMSE2017_59;yes;yes;na;exploratory survey study;
“Failures” to be celebrated: an analysis of major pivots of software startups;EMSE2017_6;yes;no;;;
An empirical study of supplementary patches in open source projects;EMSE2017_60;yes;no;;;
A stability assessment of solution adaptation techniques for analogy-based software effort estimation;EMSE2017_61;yes;no;;;
Identifying the implied: Findings from three differentiated replications on the use of security requirements templates;EMSE2017_62;yes;yes;Both;Multiple studies, With/without suggested template, some data on individual use cases (tasks), some experiment averages;Identify security requirements
A detailed investigation of the effectiveness of whole test suite generation;EMSE2017_64;yes;no;;;
Fragile base-class problem, problem?;EMSE2017_65;yes;yes;na;Survey, only part;
Group versus individual use of power-only EPMcreate as a creativity enhancement technique for requirements elicitation;EMSE2017_66;yes;yes;na;Different group sizes to evaluate its effect on idea generation, also a survey;Generate ideas for requirements
fine-GRAPE: fine-grained APi usage extractor – an approach and dataset to investigate API usage;EMSE2017_67;yes;no;;;
Eye movements in software traceability link recovery;EMSE2017_68;yes;yes;both;Analysis on individual bugs and the overall average;8 bug localizations
A repository of Unix history and evolution;EMSE2017_69;yes?;no;;;
Extracting and analyzing time-series HCI data from screen-captured task videos;EMSE2017_7;yes;no;;;
Case study on which relations to use for clustering-based software architecture recovery;EMSE2017_70;yes;no;;;
Achieving traceability in large scale continuous integration and delivery deployment, usage and validation of the eiffel framework;EMSE2017_71;yes;yes;na;Different interviews;
Review participation in modern code review;EMSE2017_72;yes;no;;;
An industry experiment on the effects of test-driven development on external quality and productivity;EMSE2017_73;yes;yes;both;Discussion on averages over entire task, minor discussions of subtasks;Three tasks with multiple implementation subtasks: 2 TDD vs. 1 ITLD
License usage and changes: a large-scale study on gitHub;EMSE2017_74;yes;no;;;
Defect propagation at the project-level: results and a post-hoc analysis on inspection efficiency;EMSE2017_75;yes;no;;;
Analysis of license inconsistency in large collections of open source projects;EMSE2017_76;yes;no;;;
What do developers search for on the web?;EMSE2017_77;yes;yes;na;Part: survey;
The structure and dynamics of knowledge network in domain-specific Q&A sites: a case study of stack overflow;EMSE2017_78;yes;no;;;
Data Transformation in Cross-project Defect Prediction;EMSE2017_79;yes;no;;;
A large-scale study of architectural evolution in open-source software systems;EMSE2017_8;yes;no;;;
Automated training-set creation for software architecture traceability problem;EMSE2017_80;yes;no;;;
An experimental search-based approach to cohesion metric evaluation;EMSE2017_81;yes;no;;;
The last line effect explained;EMSE2017_9;yes;yes;na;interviews;
WCET analysis of modern processors using multi-criteria optimisation;ESE11_16(1)_1;yes;no;;;
Evaluating improvements to a meta-heuristic search for constrained interaction testing;ESE11_16(1)_2;yes;no;;;
A study of the bi-objective next release problem;ESE11_16(1)_3;yes;no;;;
Using search-based algorithms for Ajax event sequence generation during testing;ESE11_16(1)_4;yes;no;;;
Design evolution metrics for defect prediction in object oriented systems;ESE11_16(1)_5;yes;no;;;
A multiple comparative study of test-with development product changes and their effects on team speed and product quality;ESE11_16(2)_1;yes;no;;;
Investigating the use of Support Vector Regression for web effort estimation;ESE11_16(2)_2;yes;no;;;
Reporting computing projects through structured abstracts: a quasi-experiment;ESE11_16(2)_3;yes;yes;a;each participant saw one structured and one conventional abstract, then clarity and content were assessed on a scale;it is close to program comprehension (i.e., the abstracts could also be source code)
Behavioral economics in software quality engineering;ESE11_16(2)_4;yes;yes;na;effect of different quality criteria on motivation and quality rating of software product is evaluated;
The role of non-exact replications in software engineering experiments;ESE11_16(3)_1;yes;no;;;
Studying the co-evolution of production and test code in open source and industrial developer test processes through repository mining;ESE11_16(3)_2;yes;no;;;
A method for evaluating rigor and industrial relevance of technology evaluations;ESE11_16(3)_3;yes;no;;;
An empirical study on the influence of pattern roles on change-proneness;ESE11_16(3)_4;yes;no;;;
Using grounded theory to study the experience of software development;ESE11_16(4)_1;no;no;;;
Qualitative research on software development: a longitudinal case study methodology;ESE11_16(4)_2;yes;partially;na;purely qualitative based on observation and interviews;
Getting the whole story: an experience report on analyzing data elicited using the war stories procedure;ESE11_16(4)_3;yes;yes;na;purely qualitative;think-aloud protocols of stories about novice/expert requirements engineer
The search for a research method for studying OSS process innovation;ESE11_16(4)_4;no;no;;;
From monolithic to component-based performance evaluation of software architectures;ESE11_16(5)_1;yes;yes;task as independent variable;they used different tasks, but defined them as indepedent variable in their study design;tasks were ratings of different designs, in a second study also two different tasks and different designs
Characteristics of multiple-component defects and architectural hotspots: a large system case study;ESE11_16(5)_2;yes;no;;;
A practice-driven systematic review of dependency analysis solutions;ESE11_16(5)_3;yes;no;;;
Assessing architectural evolution: a case study;ESE11_16(5)_4;yes;no;;;
A field study of API learning obstacles;ESE11_16(6)_1;yes;yes;na;qualitative study;
Eliciting user requirements using Appreciative inquiry;ESE11_16(6)_2;yes;yes;na;"approach to compare appreciative inquiry with brainstorming; no tasks were involved";
Using structural and textual information to capture feature coupling in object-oriented software;ESE11_16(6)_3;yes;no;;;
Calculation and optimization of thresholds for sets of software metrics;ESE11_16(6)_4;yes;no;;;
A replicated assessment and comparison of adaptation techniques for analogy-based effort estimation;ESE12_17(1)_1;yes;no;;;
A permutation test based on regression error characteristic curves for software cost estimation models;ESE12_17(1)_2;yes;no;;;
On the reproducibility of empirical software engineering studies based on data retrieved from development repositories;ESE12_17(1)_3;no;no;;;
On the dataset shift problem in software engineering prediction models;ESE12_17(1)_4;partly;no;;;
Validity and reliability of evaluation procedures in comparative studies of effort prediction models;ESE12_17(1)_5;partly;no;;;
The difficulties of building generic reliability models for software;ESE12_17(1)_6;no;no;;;
Location pairs: a test coverage metric for shared-memory concurrent programs;ESE12_17(3)_1;yes;no;;;
A qualitative human-centric evaluation of flexibility in middleware implementations;ESE12_17(3)_2;yes;yes;both;;
The ability of object-oriented metrics to predict change-proneness: a meta-analysis;ESE12_17(3)_3;yes;no;;;
An exploratory study of the impact of antipatterns on class change- and fault-proneness;ESE12_17(3)_4;yes;no;;;
Program comprehension of domain-specific and general-purpose languages: comparison using a family of experiments;ESE12_17(3)_5;yes;yes;task as independent variable;11 different tasks, but defined as independent variable;family of three studies, each had the same five independent variables, just implemented differently
Replication of an experiment on linguistic tool support for consolidation of requirements from multiple sources;ESE12_17(3)_6;yes;yes;a;aggregated over all tasks;"requirement consolidation (""as many as possible"""
Analyzing and mining a code search engine usage log;ESE12_17(4)_1;yes;no;;;
